link,client.name,pe.contact,pe.address,pe.phone,pe.state,pe.email,pe.EIN,pe.name,pe.type,producer.name,producer.nipr,license.resident,license.state,license.license_number,issued.license,license.stateLicense,licenseDetail.loa,licenseDetail.effectiveDate,licenseDetail.expiration,Status
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Patty",12345678,Resident,CT,123458,Producer,Producer,Credit ,3/27/2015,3/17/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Patty",12345678,Resident,CT,123458,Producer,Producer,Personal Lines,3/27/2015,3/17/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Patty",12345678,Resident,CT,123458,Producer,Producer,Travel,3/27/2015,3/17/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Patty",12345678,Resident,CT,123458,Surplus Lines,Surplus Lines,Surplus Lines,3/27/2015,3/27/2016,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Patty",12345678,Nonresident ,PA,874569,Surplus Lines,Non-Resident Surplus Lines Producer,Surplus Lines - Property,3/15/2015,3/15/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Patty",12345678,Nonresident ,PA,874569,Surplus Lines,Non-Resident Surplus Lines Producer,Surplus Lines - Casualty,3/15/2015,3/15/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Patty",12345678,Nonresident ,VA,246587,Surplus Lines,Surplus Lines Broker,Surplus Lines,3/25/2015,3/25/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,VA,247891,Producer,Producer,Property,12/1/2014,12/31/2015,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,VA,247891,Producer,Producer,Casualty,12/1/2014,12/31/2015,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,VA,247891,Producer,Producer,Fire,12/1/2014,12/31/2015,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,VA,247891,Producer,Producer,Travel,12/1/2014,12/31/2015,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,WA,987563,Producer,Producer,Property,4/1/2015,4/1/2016,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,WA,987563,Producer,Producer,Casualty,4/1/2015,4/1/2016,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,PA,357841,Producer,Non-Resident Producer Indv,Property,3/15/2015,3/15/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,PA,357841,Producer,Non-Resident Producer Indv,Casualty,3/15/2015,3/15/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,PA,357841,Surplus Lines,Non-Resident Surplus Lines Producer,Surplus Lines - Property,3/15/2015,3/15/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,PA,357841,Surplus Lines,Non-Resident Surplus Lines Producer,Surplus Lines - Casualty,3/15/2015,3/15/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,VA,247891,Surplus Lines,Surplus Lines Broker,Surplus Lines,3/25/2015,3/25/2017,Active
,Compliant Holdings Inc.,"Compliant, Kim","500 Main Street, Anytown, USA",(5555) 555-5555,Connecticut,kcompliant@ciai.com,222222222,Compliant Agency LLC,Producer - Individual,"Producer, Ray",87654321,Nonresident ,WA,987563,Surplus Lines,Surplus Lines Broker,Surplus Lines - No LOA Needed,4/1/2015,4/1/2017,Active
